lat,lon,on_yelp
31.348164,-93.83908,1.0
26.210144,-98.205124,0.0
29.742556,-95.37952,1.0
29.508862,-95.190475,1.0
31.853634,-102.39388,1.0
29.947348,-96.246605,0.0
31.868198,-102.400764,0.0
33.590748,-101.8465,0.0
32.89675,-96.96319,1.0
32.91442,-97.30653,0.0
30.39388,-97.724,0.0
30.070963,-95.470146,1.0
34.152885,-99.299065,1.0
32.266724,-95.34197,1.0
29.702057,-95.37328,0.0
32.75485,-97.41965,1.0
29.355375,-98.87095,1.0
31.08878,-97.66113,1.0
33.400967,-96.94484,0.0
33.586765,-101.86902,1.0
31.433893,-100.50098,1.0
30.877996,-96.59641,0.0
32.661137,-96.88849,1.0
33.161476,-95.112206,0.0
32.262234,-96.1544,1.0
31.738615,-106.29196,0.0
32.940063,-97.54429,0.0
26.186693,-97.692474,1.0
29.384275,-94.91664,0.0
29.466812,-98.56881,1.0
29.797853,-95.38329,1.0
29.506214,-98.434105,1.0
29.61259,-95.214066,0.0
30.739569,-98.0486,1.0
32.745895,-98.10456,0.0
29.613842,-98.447296,1.0
30.109499,-95.39001,0.0
29.76974,-95.39679,1.0
29.696486,-95.13609,1.0
31.84921,-106.58239,1.0
29.69844,-95.51829,0.0
26.25554,-98.174194,0.0
32.782585,-96.79969,1.0
29.73295,-98.1151,1.0
33.197594,-97.12322,0.0
30.977306,-83.975334,0.0
32.914204,-96.52306,1.0
29.706615,-95.47156,1.0
26.900724,-99.26588,1.0
41.445198,-85.21411,0.0
32.998363,-96.90924,1.0
32.35704,-97.38908,1.0
30.221355,-95.57892,1.0
30.348917,-95.57008,1.0
29.782701,-95.80889,1.0
31.760557,-106.269714,1.0
32.273575,-95.34026,0.0
32.388832,-96.24888,1.0
32.76259,-97.06715,1.0
29.52049,-98.57375,1.0
32.744408,-96.99539,1.0
29.39871,-98.39099,1.0
30.656832,-96.335724,1.0
29.723152,-98.09877,1.0
29.637087,-95.10455,0.0
28.690842,-95.969055,1.0
25.95031,-97.506485,0.0
27.527601,-99.49287,0.0
31.74957,-106.30017,0.0
32.843853,-96.99432,0.0
26.132156,-97.63436,1.0
32.93091,-96.8202,1.0
32.969894,-96.9933,1.0
29.48624,-98.54818,1.0
32.512165,-97.26137,1.0
32.789074,-97.35003,0.0
29.304306,-94.77317,1.0
30.09314,-93.73219,0.0
40.52116,-84.41538,1.0
30.150326,-96.41429,1.0
33.07249,-97.04563,1.0
29.641836,-95.57122,0.0
46.911205,-114.05689,0.0
31.058702,-97.372604,0.0
32.53147,-96.8564,0.0
30.543737,-97.543365,0.0
29.786325,-95.55923,0.0
29.892456,-95.06465,1.0
29.517303,-98.59472,0.0
32.963173,-96.74867,1.0
30.637508,-96.34708,0.0
29.66438,-95.21697,1.0
32.743427,-96.827614,1.0
32.780777,-96.799355,1.0
32.875614,-97.09882,1.0
32.76799,-96.79642,1.0
25.957542,-97.50658,1.0
29.968832,-94.0222,0.0
30.001247,-95.1616,1.0
31.760752,-106.489784,0.0
32.547394,-94.732956,0.0
31.80215,-106.50831,1.0
33.641857,-97.219574,0.0
32.32461,-96.20252,1.0
29.917671,-95.30142,0.0
30.063576,-95.43292,1.0
33.005802,-96.9739,1.0
32.411728,-96.84235,1.0
29.573893,-95.107285,1.0
31.08877,-97.89215,0.0
29.699694,-95.29631,0.0
29.922369,-95.68744,0.0
30.34514,-97.696976,1.0
29.483912,-98.38586,0.0
29.661154,-95.2111,0.0
29.472908,-98.46245,1.0
33.58806,-101.86947,1.0
32.535202,-94.74363,1.0
43.322483,-89.692116,0.0
29.948498,-93.98009,1.0
29.610989,-98.60049,1.0
28.639215,-96.61467,0.0
30.32536,-97.70479,1.0
31.470333,-100.40944,0.0
27.804583,-97.48503,1.0
33.877834,-98.538666,1.0
30.20078,-98.657326,1.0
29.289413,-94.79199,1.0
29.53065,-95.64961,0.0
31.578648,-94.67115,0.0
30.733315,-98.46542,0.0
31.30776,-94.72698,1.0
33.04042,-96.70491,1.0
32.93853,-96.818924,1.0
29.52794,-98.56062,1.0
30.161007,-95.46061,0.0
27.802988,-97.394165,1.0
27.71142,-97.37923,1.0
32.78312,-96.78321,1.0
33.21519,-97.13018,0.0
35.229313,-101.83074,0.0
31.395386,-103.50471,0.0
29.794062,-98.751305,0.0
26.252625,-98.222244,1.0
32.802418,-97.35104,0.0
32.75855,-97.08926,1.0
29.597448,-95.62925,0.0
29.994873,-95.73733,1.0
29.307158,-94.78927,1.0
30.522533,-97.83159,1.0
29.273127,-94.850685,1.0
29.518063,-98.41009,1.0
31.032299,-97.47439,0.0
29.989601,-95.49726,1.0
32.678123,-97.13434,1.0
32.206066,-95.42321,1.0
33.662407,-95.55605,0.0
32.739246,-97.77087,1.0
31.77654,-106.50276,1.0
33.545593,-101.92364,1.0
29.304905,-94.79144,0.0
29.439123,-95.23397,1.0
32.910786,-96.88929,1.0
29.440828,-98.65987,1.0
31.559868,-97.12904,1.0
30.385124,-97.74026,0.0
32.833775,-96.86048,0.0
27.798204,-97.39408,0.0
32.760498,-97.30203,0.0
28.862194,-96.993996,0.0
32.953648,-96.835396,1.0
30.28651,-97.69671,1.0
41.6787,-86.27538,1.0
29.547749,-98.29204,1.0
28.79822,-97.00696,0.0
32.759975,-97.66102,0.0
30.646612,-97.02187,1.0
29.76087,-95.36255,0.0
29.89274,-97.91155,1.0
32.855804,-96.87025,0.0
35.260258,-101.88338,0.0
33.21469,-97.131676,1.0
32.95093,-96.83943,1.0
29.474968,-98.5374,0.0
28.521765,-97.873085,0.0
31.12615,-97.331505,1.0
29.567616,-97.96351,1.0
30.268284,-97.74982,1.0
33.15222,-96.835106,1.0
29.703741,-98.136475,0.0
32.74034,-97.3636,0.0
32.747066,-97.37251,1.0
29.814018,-95.46164,1.0
29.732197,-95.492195,0.0
29.993427,-95.48916,1.0
32.766182,-97.79764,1.0
32.937454,-96.83681,1.0
32.774673,-96.80283,0.0
30.200321,-97.76889,1.0
51.620895,5.9786386,0.0
29.883257,-97.94168,1.0
29.728088,-95.52174,1.0
30.266691,-97.75002,1.0
30.662401,-96.37222,0.0
29.749453,-95.37514,1.0
33.132385,-96.65261,1.0
33.247997,-96.785095,1.0
29.531378,-98.49036,0.0
33.047478,-97.1298,1.0
32.940605,-97.06474,1.0
32.93419,-97.07809,0.0
